Unnamed: 0,SMILES,ID,is_active,mw,logP,charge
19,CC[C@@H](CC=C)O[C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O,129296,1,296.367,0.973,0
20,CC[C@@H](CCC1CCCCC1)O[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,130595,1,366.5020000000001,2.7574000000000005,0
21,CCCCCCC[C@H](CC)O[C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O,130570,1,354.49100000000004,2.7574000000000005,0
22,CC(=O)N[C@@H]1[C@@H](NC(N)=N)C=C(C(O)O)O[C@H]1C(O)[C@H](O)CO,247243,1,334.32900000000006,-4.349729999999996,0
23,CCC[C@@](C)(O)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424101,1,312.4100000000001,1.0496,0
24,CCC[C@H](O)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424084,1,298.383,0.6595000000000004,0
25,CCC(CC)C(NC(C)=O)[C@@H]1[C@@H](O)[C@@H](C(O)=O)C[C@H]1NC(N)=N,192932,1,328.413,-0.1394299999999976,0
26,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@@H](O)CC=C,424086,1,296.3670000000001,0.4355000000000005,0
27,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,115145,1,389.4520000000001,0.6670000000000011,0
28,CCCN(CCc2cccc(c1ccccc1)c2)C(=O)[C@@H]3OC(C(O)=O)=C[C@H](N)[C@H]3NC(C)=O,277548,1,465.5500000000002,2.334,0
29,CCCN(CCc2ccc(c1ccccc1)cc2)C(=O)[C@@H]3OC(C(O)=O)=C[C@H](N)[C@H]3NC(C)=O,163226,1,465.5500000000002,2.334,0
30,CCC(C)O[C@H]1C=C(C(O)=O)C[C@H](N)[C@@H]1NC(C)=O,130069,1,270.329,0.4168000000000001,0
31,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@@H](O)C=C,424082,1,282.34000000000003,0.045400000000001,0
32,CC(=O)Nc1ccc(C(O)=O)cc1NC(N)=N,87625,1,236.231,0.6485700000000001,0
33,CC[C@H](O)[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1/C=C\C,424080,1,284.35600000000005,0.2694000000000007,0
34,CC[C@H](CC=C)O[C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O,129362,1,296.367,0.973,0
35,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(=O)C(F)(F)F,265738,1,443.4220000000001,1.2093999999999998,0
36,CCCN(CCc1cccc(O)c1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,277782,1,405.45100000000014,0.3726000000000012,0
37,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCC2,28765,1,281.35600000000005,0.0876000000000005,0
38,CCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,162485,1,375.42500000000007,0.2769000000000016,0
39,CC1CCC(C)N1C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,276725,1,325.36500000000007,-0.414899999999998,0
40,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N=C(N)N)[C@H]2NC(C)=O,162626,1,431.49300000000017,-0.0182999999999959,0
41,CC(=O)NC([C@@H]2CCC(=C1SCCCS1)C2)C(O)=O,88734,1,301.433,2.4575000000000005,0
42,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCCC2,28861,1,295.3830000000001,0.4777000000000004,0
43,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCC[C@@H]2CO,28685,1,325.4090000000001,-0.1613999999999988,0
44,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@H]2CC=CCO2,424098,1,308.37800000000004,0.8436000000000008,0
45,CC[C@H](CCc1ccccc1)O[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,129819,1,360.4540000000001,2.0297,0
46,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCCCC2,28702,1,309.41000000000014,0.8678000000000003,0
47,CCN(CC)C(=O)C(NC(C)=O)[C@H]1CC(C(O)=O)C[C@@H]1N=C(N)N,89881,1,341.4120000000001,-0.8876999999999968,0
48,CC[C@@H](CC1CCCCC1)O[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,130635,1,352.4750000000001,2.3673,0
49,CCCN(CCCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,276335,1,403.47900000000016,1.0571000000000006,0
50,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1OC2CCCC2,82165,1,282.34000000000003,0.5609000000000004,0
51,C/C=C\[C@@H]1C[C@H](C(O)=O)N[C@H]1[C@@H](NC(C)=O)[C@@H]2CC=CCO2,424099,1,308.37800000000004,0.8436000000000008,0
52,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2C3CCCC2CC3,28862,1,307.3940000000001,0.6186000000000007,0
53,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCC2,28857,1,267.329,-0.3024999999999993,0
54,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCOCC2,28877,1,283.32800000000003,-1.0660999999999978,0
55,CCCC2CCN([C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O)CC2,28864,1,323.4370000000001,1.113800000000001,0
56,CC(=O)NC([C@H]1CC(C(O)=O)C[C@@H]1N=C(N)N)C(=O)N2CCOCC2,88880,1,355.3950000000001,-1.8972999999999955,0
57,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCCCCCCC2,28673,1,323.4370000000002,1.2579,0
58,CC(C)C[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1c2cc[nH]n2,322776,1,308.382,0.8592000000000004,0
59,CC(=O)N[C@@H]1[C@@H](N)C=C(C(O)=O)O[C@H]1C(=O)N(CCc2ccccc2)C3CC3,277082,1,387.43600000000015,0.4194000000000022,0
60,CCC(CC)Nc1cc(C(O)=O)ccc1N2C(=O)CCC2(CO)CO,121545,1,350.4150000000002,1.8355,0
61,CCCCC(NC(C)=O)[C@@H]1CC(C(O)=O)C[C@H]1N=C(N)N,192931,1,298.38700000000006,0.4341000000000024,0
62,CCCN(CCc1ccccc1)C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(=O)C3CC3,265739,1,415.4900000000002,1.0571000000000008,0
63,CC2CCN([C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O)CC2,28832,1,295.3830000000001,0.3336000000000014,0
64,CC1CCN(C)N1C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,643043,1,326.35300000000007,-1.3466999999999958,0
65,CCC2CCN([C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O)CC2,28831,1,309.41000000000014,0.7237000000000012,0
66,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1OC2CCCCC2,81658,1,296.3670000000001,0.9510000000000004,0
67,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1OCCCc3ccc(c2ccccc2)cc3,129814,1,408.4980000000001,2.9181000000000017,0
68,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1N2CCC2,28724,1,253.302,-0.692599999999999,0
69,CN(CCc1ccccc1)[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,185866,1,331.41600000000005,0.7762000000000007,0
70,CC1CCC(C)N1C(=O)[C@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,277315,1,325.36500000000007,-0.414899999999998,0
71,CC(=O)NC([C@H]1CC(C(O)=O)C[C@@H]1N=C(N)N)C(=O)N2CCCCC2,88698,1,353.4230000000002,-0.7435999999999976,0
72,CCCC1CCCCN1C(=O)C(NC(C)=O)[C@H]2CC(C(O)=O)C[C@@H]2N=C(N)N,89928,1,395.5040000000002,0.4251000000000038,0
73,CCC1CCCCN1C(=O)C(NC(C)=O)[C@H]2CC(C(O)=O)C[C@@H]2N=C(N)N,88586,1,381.4770000000002,0.0350000000000038,0
74,CN(C1CCCCC1)[C@@H]2C=C(C(O)=O)C[C@H](N)[C@H]2NC(C)=O,185188,1,309.41,0.8662000000000012,0
75,CCCN(CC1CC1)C(=O)C(NC(C)=O)[C@H]2CC(C(O)=O)C[C@@H]2N=C(N)N,89444,1,381.47700000000015,-0.1074999999999958,0
76,CC(=O)NC([C@H]1CC(C(O)=O)C[C@@H]1N=C(N)N)C(=O)N2CCSCC2,88954,1,371.46300000000014,-1.180699999999997,0
77,CC(CCc1ccccc1)NC(=O)C(NC(C)=O)[C@H]2CC(C(O)=O)C[C@@H]2N=C(N)N,89009,1,417.5100000000002,0.3814000000000026,0
78,CC1CCCCN1C(=O)C(NC(C)=O)[C@H]2CC(C(O)=O)C[C@@H]2N=C(N)N,88625,1,367.45000000000016,-0.3550999999999966,0
79,CC(C)C[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1c2ccon2,323094,1,309.36600000000004,1.1241,0
80,CC(C)C[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1c2ccno2,323095,1,309.36600000000004,1.1241000000000003,0
81,CCC2(CC)CN([C@@H]1C=C(C(O)=O)C[C@H](N)[C@H]1NC(C)=O)C2,28701,1,309.4100000000001,0.7237000000000013,0
82,CCCN(CCc2ccc(Cc1ccccc1)cc2)C(=O)[C@@H]3OC(C(O)=O)=C[C@H](N)[C@H]3NC(C)=O,276776,1,479.5770000000002,2.2578000000000005,0
83,CCC1CCC(CC)N1C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,277314,1,353.4190000000001,0.3653000000000023,0
84,CC1CCCN1C(=O)[C@@H]2OC(C(O)=O)=C[C@H](N)[C@H]2NC(C)=O,276792,1,311.338,-0.8033999999999983,0
85,CC(C)C[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1c2nccs2,323219,1,325.434,1.5926,0
86,CCCCc2nnc([C@@H]1OC(C(O)=O)=C[C@H](N)[C@H]1NC(C)=O)n2CCC,115150,1,365.43400000000014,0.9025000000000007,0
87,CC(C)C[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1c2cscn2,323218,1,325.434,1.5925999999999998,0
88,CC(C)C[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1c2ncc[nH]2,322989,1,308.382,0.8592000000000004,0
89,COC(=O)[C@@H]1C[C@H](C(O)=O)O[C@H]1[C@H](CC(C)C)NC(C)=O,304734,1,301.339,0.5685,0
90,CC(=O)NC([C@H]1CC(C(O)=O)C[C@@H]1N=C(N)N)C(=O)N2CCCC2,88601,1,339.39600000000013,-1.1336999999999977,0
91,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1Oc2ccccc2,81480,1,290.319,0.6807000000000005,0
92,CC(C)C[C@H](NC(C)=O)[C@@H]1O[C@@H](C(O)=O)C[C@H]1c2c[nH]cn2,304736,1,309.366,1.2861999999999996,0
93,CC(C)C[C@H](NC(C)=O)[C@@H]1N[C@@H](C(O)=O)C[C@H]1c2c[nH]cn2,322879,1,308.382,0.8592000000000004,0
94,CC(=O)N[C@@H]1[C@@H](N)CC(C(O)=O)=C[C@H]1OCc2ccccc2,130592,1,304.346,0.8185000000000007,0
95,CCN(Cc1ccccc1)C(=O)C(NC(C)=O)[C@H]2CC(C(O)=O)C[C@@H]2N=C(N)N,89409,1,403.4830000000002,0.2926000000000026,0
96,CC(=O)NC([C@H]1CC(C(O)=O)C[C@@H]1N=C(N)N)C(=O)N2CCC2,89318,1,325.3690000000001,-1.523799999999997,0
97,CC(=O)NC([C@H]1CC(C(O)=O)C[C@@H]1N=C(N)N)C(=O)N2CCCCCC2,88428,1,367.4500000000002,-0.3534999999999977,0
